accession,signature,n_case,n_control,case_median,control_median,median_diff_case_minus_control,p_value,direction,FDR
GSE154918,six_gene_panel,39,12,0.29506917741874,-0.373533954650566,0.668603132069306,0.0326701414392916,UP_IN_CASE,0.0392041697271499
GSE154918,mhcii_cd74_axis,39,12,-0.0346585899757833,0.257911622467964,-0.292570212443748,0.189003320161543,DOWN_IN_CASE,0.226803984193852
GSE154918,hla_dr_core,39,12,0.0648307060581818,0.295062173004908,-0.230231466946726,0.147491877135658,DOWN_IN_CASE,0.17699025256279
GSE154918,myeloid_inflammatory,39,12,0.114553469182705,-0.0894921264149182,0.204045595597623,0.238285218827948,UP_IN_CASE,0.285942262593537
GSE154918,interferon_antigen_presentation,39,12,-0.273240686872846,0.224264879311591,-0.497505566184437,0.174328274346978,DOWN_IN_CASE,0.261492411520467
GSE154918,immunometabolic_stress,39,12,0.132168590516925,-0.0047020580273969,0.136870648544322,0.316738104903926,UP_IN_CASE,0.380085725884711
GSE154918,adaptive_t_cell_context,39,12,-0.165143295620425,0.336285723438464,-0.501429019058889,0.153893639420168,DOWN_IN_CASE,0.230840459130253
GSE134347,six_gene_panel,156,59,0.299740258646815,-0.577854470297642,0.877594728944457,4.09209074481202e-09,UP_IN_CASE,2.45525444688721e-08
GSE134347,mhcii_cd74_axis,156,59,-0.276530557381299,0.154450058258767,-0.430980615640065,0.0022685781883866,DOWN_IN_CASE,0.0068057345651599
GSE134347,hla_dr_core,156,59,-0.182127929399804,0.226754772432066,-0.40888270183187,0.0046687581264419,DOWN_IN_CASE,0.0093375162528839
GSE134347,myeloid_inflammatory,156,59,0.192295790035399,-0.337301891757936,0.529597681793335,7.818440931798031e-09,UP_IN_CASE,4.69106455907882e-08
GSE134347,interferon_antigen_presentation,156,59,-0.304452350462721,-0.126476477612779,-0.177975872849942,0.0464520627865608,DOWN_IN_CASE,0.140362167087068
GSE134347,immunometabolic_stress,156,59,0.245108098535325,-0.359650173638454,0.604758272173779,7.99854700149105e-05,UP_IN_CASE,0.0004799128200894
GSE134347,adaptive_t_cell_context,156,59,-0.262951363649563,0.428344587538409,-0.691295951187972,1.77656108106279e-06,DOWN_IN_CASE,5.32968324318838e-06
GSE65682,six_gene_panel,192,33,0.184362705481973,-0.372916272413405,0.557278977895378,0.0005743514690704,UP_IN_CASE,0.0011487029381408
GSE65682,mhcii_cd74_axis,192,33,-0.087579846042703,0.593419391851677,-0.68099923789438,2.04611014745769e-05,DOWN_IN_CASE,0.0001227666088474
GSE65682,hla_dr_core,192,33,-0.0595774464963028,0.572644297401271,-0.632221743897573,0.000260331149183,DOWN_IN_CASE,0.0015619868950981
GSE65682,myeloid_inflammatory,192,33,0.0498487545008343,-0.306732364808711,0.356581119309546,0.0005561786270242,UP_IN_CASE,0.0011123572540484
GSE65682,interferon_antigen_presentation,192,33,-0.203176361836573,0.0002913757692,-0.203467737605773,0.070181083543534,DOWN_IN_CASE,0.140362167087068
GSE65682,immunometabolic_stress,192,33,0.10334632186848,-0.198716110047724,0.302062431916204,0.190220217015634,UP_IN_CASE,0.285330325523452
GSE65682,adaptive_t_cell_context,192,33,-0.173019041098759,0.45124658583923,-0.624265626937989,0.0001766217536984,DOWN_IN_CASE,0.0003532435073968
GSE32707,six_gene_panel,48,21,-0.0952732759421031,-0.204038796778376,0.108765520836273,0.932994998063318,UP_IN_CASE,0.932994998063318
GSE32707,mhcii_cd74_axis,48,21,-0.0803760205311975,-0.190983653543675,0.110607633012478,0.932994998063318,UP_IN_CASE,0.932994998063318
GSE32707,hla_dr_core,48,21,0.0272289284442845,-0.275038675672052,0.302267604116337,0.609153365708747,UP_IN_CASE,0.609153365708747
GSE32707,myeloid_inflammatory,48,21,0.0990634286045803,-0.015320295488774,0.114383724093354,0.741451136584663,UP_IN_CASE,0.741451136584663
GSE32707,interferon_antigen_presentation,48,21,-0.239033017281724,-0.0926790660169684,-0.146353951264756,0.38874821228453,DOWN_IN_CASE,0.38874821228453
GSE32707,immunometabolic_stress,48,21,-0.0104618898289562,-0.0444109924134274,0.0339491025844712,0.99483982970338,UP_IN_CASE,0.99483982970338
GSE32707,adaptive_t_cell_context,48,21,-0.144673925306955,-0.168728815677179,0.0240548903702241,0.591122872476782,UP_IN_CASE,0.591122872476782
GSE69063,six_gene_panel,19,25,0.764565187817746,-0.575413572373879,1.33997876019162,6.97050011943916e-07,UP_IN_CASE,2.09115003583175e-06
GSE69063,mhcii_cd74_axis,19,25,-0.338416408838282,0.341798258113523,-0.680214666951805,0.0034282160956596,DOWN_IN_CASE,0.0068564321913193
GSE69063,hla_dr_core,19,25,-0.433087225086631,0.385951861347782,-0.819039086434413,0.0020521381420899,DOWN_IN_CASE,0.0061564144262699
GSE69063,myeloid_inflammatory,19,25,0.411784511013615,-0.27818469762305,0.689969208636666,4.17665411605234e-05,UP_IN_CASE,0.0001252996234815
GSE69063,interferon_antigen_presentation,19,25,-0.361295993099442,0.173424202847647,-0.534720195947088,0.268474160234527,DOWN_IN_CASE,0.322168992281432
GSE69063,immunometabolic_stress,19,25,0.567602176539605,-0.56554832355441,1.13315050009402,0.0006085408213379,UP_IN_CASE,0.0018256224640137
GSE69063,adaptive_t_cell_context,19,25,-0.568142491258466,0.693757683308959,-1.26190017456742,4.94140008833653e-08,DOWN_IN_CASE,2.96484005300192e-07
GSE28750,six_gene_panel,10,11,0.626866751520961,-0.0663270778706035,0.693193829391564,0.0047857199559985,UP_IN_CASE,0.0071785799339978
GSE28750,mhcii_cd74_axis,10,11,-0.605053535431676,0.288792045255301,-0.893845580686976,0.0100931060683383,DOWN_IN_CASE,0.0151396591025074
GSE28750,hla_dr_core,10,11,-0.419457854737473,0.107657519600362,-0.527115374337836,0.0429637442021343,DOWN_IN_CASE,0.0644456163032015
GSE28750,myeloid_inflammatory,10,11,0.229675936187809,-0.131482593006883,0.361158529194692,0.0986175846856962,UP_IN_CASE,0.147926377028544
GSE28750,interferon_antigen_presentation,10,11,-0.461711813727884,0.0248676585866738,-0.486579472314557,0.0513444244094399,DOWN_IN_CASE,0.140362167087068
GSE28750,immunometabolic_stress,10,11,0.567125888040455,-0.290284462116452,0.857410350156908,0.11446602932671,UP_IN_CASE,0.228932058653421
GSE28750,adaptive_t_cell_context,10,11,-0.502237620758997,0.0375748688661001,-0.539812489625097,0.223023622404427,DOWN_IN_CASE,0.267628346885313
GSE54514,six_gene_panel,35,0,-0.0466842317711322,,,,,
GSE54514,mhcii_cd74_axis,35,0,-0.156993542620721,,,,,
GSE54514,hla_dr_core,35,0,-0.176583960574473,,,,,
GSE54514,myeloid_inflammatory,35,0,-0.0400080061190269,,,,,
GSE54514,interferon_antigen_presentation,35,0,-0.074975356941838,,,,,
GSE54514,immunometabolic_stress,35,0,-0.0380518631033073,,,,,
GSE54514,adaptive_t_cell_context,35,0,-0.356554322254732,,,,,
